Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1898.04,3274.2872
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1871.04,3236.1672000000003
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1871.04,3236.1672000000003
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1871.04,3236.1672000000003
M,22,169,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,14.08798235024423,23.80869017191275,1.7799199565042194,53.599000000000004,1698.507,2965.4464000000003
M,26,169,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,14.08798235024423,23.80869017191275,1.7799199565042194,53.599000000000004,1671.507,2927.3264
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 100 metres,11.398330958681052,19.377162629757787,1.6459691957056584,48.982,1552.01,2707.3408000000004
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 200 metres,11.398330958681052,19.377162629757787,1.6459691957056584,48.982,1552.01,2707.3408000000004
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,11.398330958681052,19.377162629757787,1.6459691957056584,48.982,1552.01,2707.3408000000004
M,23,178,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.41189328892476,22.093170054286073,1.8710590432526395,56.816,1764.284,3051.5740000000005
M,20,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
M,24,183,75.0,Ghana,Summer,Athletics,Athletics Men's 400 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
