Sex,Age,Height,Weight,Team,Season,Sport,Event
M,23.0,176.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,19.0,170.0,68.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,23.0,170.0,68.0,Ghana,Summer,Athletics,Athletics Men's 100 metres
M,23.0,170.0,68.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,23.0,167.0,73.0,Togo,Summer,Athletics,Athletics Men's 400 metres
M,23.0,167.0,73.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,167.0,73.0,Togo,Summer,Athletics,Athletics Men's 400 metres
M,27.0,167.0,73.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,185.0,72.0,Nigeria,Summer,Athletics,Athletics Men's Long Jump
M,26.0,170.0,64.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,21.0,173.0,67.0,Soviet Union,Summer,Athletics,Athletics Men's 100 metres
M,21.0,173.0,67.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,25.0,173.0,67.0,Soviet Union,Summer,Athletics,Athletics Men's 100 metres
M,25.0,173.0,67.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,21.0,160.0,74.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres
M,26.0,183.0,77.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,26.0,183.0,77.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,25.0,174.0,65.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,29.0,174.0,65.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,21.0,171.0,64.0,Yemen,Summer,Athletics,Athletics Men's 400 metres
M,23.0,180.0,75.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,23.0,180.0,75.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,180.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,24.0,180.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,20.0,180.0,80.0,United Arab Emirates,Summer,Athletics,Athletics Men's 200 metres
M,22.0,170.0,63.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres
M,22.0,170.0,63.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,17.0,171.0,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,17.0,171.0,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's Long Jump
M,20.0,175.0,65.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,19.0,180.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,19.0,180.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,180.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,18.0,170.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,160.0,52.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,23.0,160.0,52.0,Saudi Arabia,Summer,Athletics,Athletics Men's 200 metres
M,20.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,20.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,28.0,172.0,65.0,Oman,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,32.0,172.0,65.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,18.0,179.0,73.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,26.0,167.0,60.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,26.0,167.0,60.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,24.0,174.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 200 metres
M,24.0,174.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,26.0,160.0,51.0,Saudi Arabia,Summer,Athletics,Athletics Men's 110 metres Hurdles
