Sex,Age,Height,Weight,Team,Season,Sport,Event,total_arm_cmprox,total_leg_cmprox,hat_cmprox,total_arm_cmdist,total_leg_cmdist,hat_cmdist,total_arm_rgcm,total_leg_rgcm,hat_rgcm,total_arm_rgprox,total_leg_rgprox,hat_rgprox,total_arm_rgdist,total_leg_rgdist,hat_rgdist
M,21,173,67.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,173,67.0,Soviet Union,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,173,67.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,160,74.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,183,77.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,26,183,77.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,174,65.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,29,174,65.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,171,64.0,Yemen,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,180,75.0,Oman,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,180,75.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,180,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,24,180,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,20,180,80.0,United Arab Emirates,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,170,63.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,170,63.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,17,171,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,17,171,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,20,175,65.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,19,180,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,19,180,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,180,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,18,170,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,160,52.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,160,52.0,Saudi Arabia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,20,170,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,20,170,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,170,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,28,172,65.0,Oman,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,32,172,65.0,Oman,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,18,179,73.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,167,60.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,26,167,60.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,174,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,174,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,160,51.0,Saudi Arabia,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,26,160,51.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,188,75.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,25,188,75.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,175,65.0,Palestine,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,168,52.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
