lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
2			140438190	1826.1	434.20000000000005	65535	174	86	2.183	93.7	37.75	262.0	12.28	50.12	750.0
2			140435193	1846.13	436.4	65535	174	85	2.183	91.7	37.75	265.0	11.81	49.84	766.0
2			140433237	1858.58	435.79999999999995	65535	175	86	2.174	90.7	37.75	264.0	12.0	49.93	747.0
2			140430036	1878.94	435.20000000000005	65535	177	86	2.165	88.7	38.25	266.0	11.71	50.12	748.0
2			140427541	1894.49	434.0	65535	180	85	2.165	90.7	37.75	265.0	11.71	50.21	761.0
2			140424672	1913.13	431.6	65535	177	84	2.174	96.5	37.0	264.0	12.09	50.21	777.0
2			140421537	1933.42	430.20000000000005	65535	176	85	2.165	95.5	37.25	263.0	12.28	50.21	763.0
2			140418459	1953.96	428.4	65535	177	86	2.165	94.5	37.5	261.0	12.09	50.43	770.0
2			140415099	1974.89	430.79999999999995	65535	178	86	2.193	93.7	37.75	264.0	11.59	50.43	800.0
2			140412952	1988.9	431.0	65535	176	81	2.174	98.5	38.25	282.0	11.9	50.12	804.0
2			140413151	2000.36	440.0	65535	176	84	1.082	110.2	37.75	279.0	23.21	60.78	458.0
3			140413293	2006.3	442.20000000000005	65535	179	85	1.642	100.5	37.0	262.0	19.4	53.21	531.0
3			140413602	2012.06	445.0	65535	176	85	1.586	99.5	37.25	261.0	18.06	52.0	564.0
3			140413874	2016.94	444.79999999999995	65535	173	86	1.698	96.5	37.25	260.0	17.06	51.5	570.0
3			140414162	2028.62	445.20000000000005	65535	168	85	1.838	96.5	36.5	257.0	15.12	50.78	654.0
3			140415259	2046.79	442.4	65535	171	85	1.913	98.5	35.5	250.0	14.15	50.31	703.0
3			140416496	2065.34	439.20000000000005	65535	168	85	2.071	98.5	36.0	254.0	12.5	50.0	785.0
3			140418062	2085.92	438.0	65535	168	83	2.137	99.5	36.5	263.0	12.28	50.0	795.0
3			140419450	2107.96	439.4	65535	166	83	2.183	97.5	36.75	264.0	12.18	50.0	794.0
3			140420839	2128.73	440.0	65535	167	85	2.174	93.7	37.75	267.0	12.18	50.09	764.0
3			140421396	2137.05	440.6	65535	170	85	2.165	92.7	38.25	268.0	12.0	50.31	766.0
3			140422489	2157.61	444.20000000000005	65535	171	86	2.183	88.7	38.5	267.0	11.4	50.31	772.0
3			140423827	2178.09	446.4	65535	173	86	2.183	85.7	39.5	277.0	10.93	50.09	775.0
3			140423914	2181.16	448.0	65535	173	85	2.193	86.7	39.25	276.0	10.81	50.09	786.0
3			140424996	2201.76	446.4	65535	170	86	2.211	90.7	39.25	275.0	11.4	49.9	776.0
3			140425629	2209.58	445.20000000000005	65535	171	86	2.183	92.7	38.75	271.0	12.09	49.9	745.0
3			140427286	2230.51	444.4	65535	172	86	2.09	97.5	37.0	258.0	13.37	50.5	716.0
3			140427909	2238.28	444.20000000000005	65535	169	85	2.062	95.5	38.0	266.0	13.28	50.5	712.0
3			140429116	2259.87	441.6	65535	170	85	2.155	99.5	37.5	263.0	12.78	50.4	772.0
3			140429880	2271.83	441.20000000000005	65535	171	84	2.155	106.2	37.25	266.0	12.78	50.21	802.0
